
Активные подключения

  Имя    Локальный адрес        Внешний адрес          Состояние       PID
  TCP    [fe80::d409:7142:582e:e52%16]:2562  [fe80::d409:7142:582e:e52%16]:49602  ESTABLISHED     5628
  TCP    [fe80::d409:7142:582e:e52%16]:2562  [fe80::d409:7142:582e:e52%16]:49691  ESTABLISHED     5628
  TCP    [fe80::d409:7142:582e:e52%16]:2562  [fe80::d409:7142:582e:e52%16]:51710  ESTABLISHED     5628
  TCP    [fe80::d409:7142:582e:e52%16]:2562  [fe80::d409:7142:582e:e52%16]:54465  ESTABLISHED     5628
  TCP    [fe80::d409:7142:582e:e52%16]:2563  [fe80::d409:7142:582e:e52%16]:49250  ESTABLISHED     5572
  TCP    [fe80::d409:7142:582e:e52%16]:2563  [fe80::d409:7142:582e:e52%16]:49296  ESTABLISHED     5572
  TCP    [fe80::d409:7142:582e:e52%16]:2563  [fe80::d409:7142:582e:e52%16]:49312  ESTABLISHED     5572
  TCP    [fe80::d409:7142:582e:e52%16]:2563  [fe80::d409:7142:582e:e52%16]:49517  ESTABLISHED     5572
  TCP    [fe80::d409:7142:582e:e52%16]:2563  [fe80::d409:7142:582e:e52%16]:49532  ESTABLISHED     5572
  TCP    [fe80::d409:7142:582e:e52%16]:2563  [fe80::d409:7142:582e:e52%16]:49548  ESTABLISHED     5572
  TCP    [fe80::d409:7142:582e:e52%16]:2563  [fe80::d409:7142:582e:e52%16]:49562  ESTABLISHED     5572
  TCP    [fe80::d409:7142:582e:e52%16]:2563  [fe80::d409:7142:582e:e52%16]:49577  ESTABLISHED     5572
  TCP    [fe80::d409:7142:582e:e52%16]:2563  [fe80::d409:7142:582e:e52%16]:49595  ESTABLISHED     5572
  TCP    [fe80::d409:7142:582e:e52%16]:2563  [fe80::d409:7142:582e:e52%16]:49614  ESTABLISHED     5572
  TCP    [fe80::d409:7142:582e:e52%16]:2563  [fe80::d409:7142:582e:e52%16]:49702  ESTABLISHED     5572
  TCP    [fe80::d409:7142:582e:e52%16]:2563  [fe80::d409:7142:582e:e52%16]:53768  ESTABLISHED     5572
  TCP    [fe80::d409:7142:582e:e52%16]:2564  [fe80::d409:7142:582e:e52%16]:49241  ESTABLISHED     5548
  TCP    [fe80::d409:7142:582e:e52%16]:2564  [fe80::d409:7142:582e:e52%16]:49292  ESTABLISHED     5548
  TCP    [fe80::d409:7142:582e:e52%16]:2564  [fe80::d409:7142:582e:e52%16]:49308  ESTABLISHED     5548
  TCP    [fe80::d409:7142:582e:e52%16]:2564  [fe80::d409:7142:582e:e52%16]:49512  ESTABLISHED     5548
  TCP    [fe80::d409:7142:582e:e52%16]:2564  [fe80::d409:7142:582e:e52%16]:49543  ESTABLISHED     5548
  TCP    [fe80::d409:7142:582e:e52%16]:2564  [fe80::d409:7142:582e:e52%16]:49558  ESTABLISHED     5548
  TCP    [fe80::d409:7142:582e:e52%16]:2564  [fe80::d409:7142:582e:e52%16]:49573  ESTABLISHED     5548
  TCP    [fe80::d409:7142:582e:e52%16]:2564  [fe80::d409:7142:582e:e52%16]:49590  ESTABLISHED     5548
  TCP    [fe80::d409:7142:582e:e52%16]:2564  [fe80::d409:7142:582e:e52%16]:49609  ESTABLISHED     5548
  TCP    [fe80::d409:7142:582e:e52%16]:2564  [fe80::d409:7142:582e:e52%16]:49697  ESTABLISHED     5548
  TCP    [fe80::d409:7142:582e:e52%16]:2564  [fe80::d409:7142:582e:e52%16]:54274  ESTABLISHED     5548
  TCP    [fe80::d409:7142:582e:e52%16]:2565  [fe80::d409:7142:582e:e52%16]:49254  ESTABLISHED     5588
  TCP    [fe80::d409:7142:582e:e52%16]:2565  [fe80::d409:7142:582e:e52%16]:49298  ESTABLISHED     5588
  TCP    [fe80::d409:7142:582e:e52%16]:2565  [fe80::d409:7142:582e:e52%16]:49314  ESTABLISHED     5588
  TCP    [fe80::d409:7142:582e:e52%16]:2565  [fe80::d409:7142:582e:e52%16]:49519  ESTABLISHED     5588
  TCP    [fe80::d409:7142:582e:e52%16]:2565  [fe80::d409:7142:582e:e52%16]:49534  ESTABLISHED     5588
  TCP    [fe80::d409:7142:582e:e52%16]:2565  [fe80::d409:7142:582e:e52%16]:49550  ESTABLISHED     5588
